,Value,AssetNum,Cash,bought,sold
2023-10-03 03:45:00+00:00,1000000.0,0,1000000.0,0,0
2023-10-03 04:45:00+00:00,1000030.0,51.25484781264431,30.000000000116415,1,0
2023-10-03 05:45:00+00:00,1000672.185597658,51.25638447356217,1.5000000000058193,0,0
2023-10-03 06:45:00+00:00,1002092.1225136513,51.256461197743334,0.07500000000029106,0,0
2023-10-03 07:45:00+00:00,1000467.2326275173,51.256461197743334,0.07500000000029106,0,0
2023-10-03 08:45:00+00:00,1000969.5859913655,51.256461197743334,0.07500000000029106,0,0
2023-10-03 09:45:00+00:00,1000677.3640963729,51.256461197743334,0.07500000000029106,0,0
2023-10-04 03:45:00+00:00,993984.0241406662,0.0,993984.0241406662,0,1
2023-10-04 04:45:00+00:00,993984.0241406662,0.0,993984.0241406662,0,0
2023-10-04 05:45:00+00:00,993984.0241406662,0.0,993984.0241406662,0,0
2023-10-04 06:45:00+00:00,993984.0241406662,0.0,993984.0241406662,0,0
2023-10-04 07:45:00+00:00,993984.0241406662,0.0,993984.0241406662,0,0
2023-10-04 08:45:00+00:00,993984.0241406662,0.0,993984.0241406662,0,0
2023-10-04 09:45:00+00:00,993984.0241406662,0.0,993984.0241406662,0,0
2023-10-05 03:45:00+00:00,994014.0241406662,50.908140279726894,30.000000000116415,1,0
2023-10-05 04:45:00+00:00,996382.7526636736,50.909673116870735,1.5000000000058193,0,0
2023-10-05 05:45:00+00:00,995530.090638966,50.909749824376824,0.07500000000029083,0,0
2023-10-05 06:45:00+00:00,994234.3778460724,50.909749824376824,0.07500000000029083,0,0
2023-10-05 07:45:00+00:00,995367.1235296649,50.90975366038009,0.0037500000000145473,0,0
2023-10-05 08:45:00+00:00,994786.732451314,50.90975366038009,0.0037500000000145473,0,0
2023-10-05 09:45:00+00:00,995112.574761363,50.90975366038009,0.0037500000000145473,0,0
2023-10-06 03:45:00+00:00,998006.7745578331,50.90975385167296,0.00018750000000072745,0,0
2023-10-06 04:45:00+00:00,999992.2549674234,50.90975386121861,9.375000000036372e-06,0,0
2023-10-06 05:45:00+00:00,999091.1920977937,50.90975386169632,4.6875000000181896e-07,0,0
2023-10-06 06:45:00+00:00,1000295.2276632688,50.90975386172018,2.3437500000090938e-08,0,0
2023-10-06 07:45:00+00:00,1001130.1675132249,50.90975386172138,1.1718750000045482e-09,0,0
2023-10-06 08:45:00+00:00,1000908.6305374361,50.909753861721434,5.859375000022733e-11,0,0
2023-10-06 09:45:00+00:00,1000371.5922940627,50.909753861721434,5.859375000022733e-11,0,0
2023-10-09 03:45:00+00:00,996513.1191437935,0.0,996513.1191437935,0,1
2023-10-09 04:45:00+00:00,996513.1191437935,0.0,996513.1191437935,0,0
2023-10-09 05:45:00+00:00,996513.1191437935,0.0,996513.1191437935,0,0
2023-10-09 06:45:00+00:00,996513.1191437935,0.0,996513.1191437935,0,0
2023-10-09 07:45:00+00:00,996513.1191437935,0.0,996513.1191437935,0,0
2023-10-09 08:45:00+00:00,996513.1191437935,0.0,996513.1191437935,0,0
2023-10-09 09:45:00+00:00,996513.1191437935,0.0,996513.1191437935,0,0
2023-10-10 03:45:00+00:00,996543.1191437935,50.796635631529945,30.000000000116415,1,0
2023-10-10 04:45:00+00:00,996803.7613552575,50.79816446527465,1.5000000000058193,0,0
2023-10-10 05:45:00+00:00,998309.9225595208,50.79824079163903,0.07500000000029106,0,0
2023-10-10 06:45:00+00:00,999531.6636866854,50.798244603292524,0.0037500000000145473,0,0
2023-10-10 07:45:00+00:00,1000524.8092423084,50.798244793686024,0.00018750000000072745,0,0
2023-10-10 08:45:00+00:00,1000131.1228545324,50.79824480320945,9.375000000036372e-06,0,0
2023-10-10 09:45:00+00:00,1000293.6375517739,50.79824480320945,9.375000000036372e-06,0,0
2023-10-11 03:45:00+00:00,1006333.5687024087,50.798244803682685,4.6875000000181896e-07,0,0
2023-10-11 04:45:00+00:00,1006229.3926144557,50.798244803706346,2.3437500000090938e-08,0,0
2023-10-11 05:45:00+00:00,1006305.5899816625,50.79824480370753,1.1718750000045482e-09,0,0
2023-10-11 06:45:00+00:00,1006559.5812056811,50.79824480370759,5.859375000022733e-11,0,0
2023-10-11 07:45:00+00:00,1005967.7618106535,50.79824480370759,5.859375000022733e-11,0,0
2023-10-11 08:45:00+00:00,1006305.5899816626,50.79824480370759,5.859375000022733e-11,0,0
2023-10-11 09:45:00+00:00,1006237.0321942419,50.79824480370759,5.859375000022733e-11,0,0
2023-10-12 03:45:00+00:00,1005548.6762910229,50.79824480370759,5.859375000022733e-11,0,0
2023-10-12 04:45:00+00:00,1007047.2245127321,50.79824480370759,2.9296875000113677e-12,0,0
2023-10-12 05:45:00+00:00,1006813.5724296995,50.79824480370759,2.9296875000113677e-12,0,0
2023-10-12 06:45:00+00:00,1005922.1227625875,50.79824480370759,2.9296875000113677e-12,0,0
2023-10-12 07:45:00+00:00,1005960.2214461904,50.79824480370759,2.9296875000113677e-12,0,0
2023-10-12 08:45:00+00:00,1005764.5688314385,50.79824480370759,2.9296875000113677e-12,0,0
2023-10-12 09:45:00+00:00,1004906.6169703313,0.0,1004906.6169703313,0,1
2023-10-13 03:45:00+00:00,1004906.6169703313,0.0,1004906.6169703313,0,0
2023-10-13 04:45:00+00:00,1004906.6169703313,0.0,1004906.6169703313,0,0
2023-10-13 05:45:00+00:00,1004906.6169703313,0.0,1004906.6169703313,0,0
2023-10-13 06:45:00+00:00,1004906.6169703313,0.0,1004906.6169703313,0,0
