,Value,AssetNum,Cash,bought,sold
2022-01-24 03:45:00+00:00,1000000.0,0,1000000.0,0,0
2022-01-24 04:45:00+00:00,1000000.0,0.0,1000000.0,0,0
2022-01-24 05:45:00+00:00,1000000.0,0.0,1000000.0,0,0
2022-01-24 06:45:00+00:00,1000000.0,0.0,1000000.0,0,0
2022-01-24 07:45:00+00:00,1000000.0,0.0,1000000.0,0,0
2022-01-24 08:45:00+00:00,1000000.0,0.0,1000000.0,0,0
2022-01-24 09:45:00+00:00,1000000.0,0.0,1000000.0,0,0
2022-01-25 03:45:00+00:00,1000000.0,0.0,1000000.0,0,0
2022-01-25 04:45:00+00:00,1000000.0,0.0,1000000.0,0,0
2022-01-25 05:45:00+00:00,1000000.0,0.0,1000000.0,0,0
2022-01-25 06:45:00+00:00,1000000.0,0.0,1000000.0,0,0
2022-01-25 07:45:00+00:00,1000030.0,58.119260723003606,30.0,1,0
2022-01-25 08:45:00+00:00,1004750.7385650355,58.1209961111148,1.5,0,0
2022-01-25 09:45:00+00:00,1003594.2965564807,58.12108298051141,0.07499999999999996,0,0
2022-01-27 03:45:00+00:00,989167.6361915639,0.0,989167.6361915639,0,1
2022-01-27 04:45:00+00:00,989167.6361915639,0.0,989167.6361915639,0,0
2022-01-27 05:45:00+00:00,989167.6361915639,0.0,989167.6361915639,0,0
2022-01-27 06:45:00+00:00,989167.6361915639,0.0,989167.6361915639,0,0
2022-01-27 07:45:00+00:00,989167.6361915639,0.0,989167.6361915639,0,0
2022-01-27 08:45:00+00:00,989197.6361915639,57.76633761338384,30.0,1,0
2022-01-27 09:45:00+00:00,990683.7987631548,57.76808695584291,1.5,0,0
2022-01-28 03:45:00+00:00,1001295.8262056251,57.76817349596868,0.07499999999999996,0,0
2022-01-28 04:45:00+00:00,1000602.6118736735,57.76817782597272,0.0037500000000000033,0,0
2022-01-28 05:45:00+00:00,1002425.2432029719,57.76817804207928,0.00018750000000000017,0,0
2022-01-28 06:45:00+00:00,1001622.2429718674,57.76817805289327,9.374999999999997e-06,0,0
2022-01-28 07:45:00+00:00,991618.5444653409,0.0,991618.5444653409,0,1
2022-01-28 08:45:00+00:00,991618.5444653409,0.0,991618.5444653409,0,0
2022-01-28 09:45:00+00:00,991618.5444653409,0.0,991618.5444653409,0,0
2022-01-31 03:45:00+00:00,991648.5444653409,57.19913732585426,30.0,1,0
2022-01-31 04:45:00+00:00,991833.0370179577,57.2008674846166,1.5,0,0
2022-01-31 05:45:00+00:00,994547.3602123692,57.20095375646301,0.07499999999999996,0,0
2022-01-31 06:45:00+00:00,994787.5632799013,57.20095806901378,0.0037500000000000033,0,0
2022-01-31 07:45:00+00:00,994112.6591945598,57.20095828478771,0.00018750000000000017,0,0
2022-01-31 08:45:00+00:00,991813.1136391383,57.20095828478771,0.00018750000000000017,0,0
2022-01-31 09:45:00+00:00,991767.4199048835,57.20095828478771,0.00018750000000000017,0,0
2022-02-01 03:45:00+00:00,1005484.1426785776,57.20095829545439,9.375000000000025e-06,0,0
2022-02-01 04:45:00+00:00,1004840.6318982224,57.200958295988066,4.6875000000000123e-07,0,0
2022-02-01 05:45:00+00:00,1005887.4541233111,57.200958296014726,2.343750000000004e-08,0,0
2022-02-01 06:45:00+00:00,988288.1574385659,0.0,988288.1574385659,0,1
2022-02-01 07:45:00+00:00,988318.1574385659,56.33839684406372,30.0,1,0
2022-02-01 08:45:00+00:00,989513.9874372875,56.34010496111156,1.5000000000000036,0,0
2022-02-01 09:45:00+00:00,991849.425811486,56.34019016587091,0.07500000000000018,0,0
2022-02-02 03:45:00+00:00,998511.6570486004,56.340194397683895,0.0037500000000000033,0,0
2022-02-02 04:45:00+00:00,998646.8957105433,56.34019460924589,0.0001875000000000006,0,0
2022-02-02 05:45:00+00:00,999835.6518182849,56.34019461981141,9.375000000000025e-06,0,0
2022-02-02 06:45:00+00:00,999799.0086843622,56.34019462033971,4.687500000000029e-07,0,0
2022-02-02 07:45:00+00:00,1001756.8304474424,56.34019462036607,2.3437500000000146e-08,0,0
2022-02-02 08:45:00+00:00,1001624.4529979742,56.34019462036739,1.1718750000000086e-09,0,0
2022-02-02 09:45:00+00:00,1002382.1845998412,56.340194620367456,5.859375000000047e-11,0,0
2022-02-03 03:45:00+00:00,997796.0707498548,56.340194620367456,5.859375000000047e-11,0,0
2022-02-03 04:45:00+00:00,997438.332521904,56.340194620367456,5.859375000000047e-11,0,0
2022-02-03 05:45:00+00:00,993412.8696320558,56.340194620367456,5.859375000000047e-11,0,0
2022-02-03 06:45:00+00:00,995303.0171379035,56.340194620367456,5.859375000000047e-11,0,0
2022-02-03 07:45:00+00:00,993274.7701315703,56.340194620367456,5.859375000000047e-11,0,0
2022-02-03 08:45:00+00:00,989853.1344312013,0.0,989853.1344312013,0,1
2022-02-03 09:45:00+00:00,989853.1344312013,0.0,989853.1344312013,0,0
2022-02-04 03:45:00+00:00,989853.1344312013,0.0,989853.1344312013,0,0
2022-02-04 04:45:00+00:00,989853.1344312013,0.0,989853.1344312013,0,0
2022-02-04 05:45:00+00:00,989853.1344312013,0.0,989853.1344312013,0,0
2022-02-04 06:45:00+00:00,989853.1344312013,0.0,989853.1344312013,0,0
2022-02-04 07:45:00+00:00,989853.1344312013,0.0,989853.1344312013,0,0
2022-02-04 08:45:00+00:00,989853.1344312013,0.0,989853.1344312013,0,0
2022-02-04 09:45:00+00:00,989853.1344312013,0.0,989853.1344312013,0,0
2022-02-07 03:45:00+00:00,989853.1344312013,0.0,989853.1344312013,0,0
