,Value,AssetNum,Cash,bought,sold
2023-01-16 03:45:00+00:00,1000000.0,0,1000000.0,0,0
2023-01-16 04:45:00+00:00,1000000.0,0.0,1000000.0,0,0
2023-01-16 05:45:00+00:00,1000000.0,0.0,1000000.0,0,0
2023-01-16 06:45:00+00:00,1000000.0,0.0,1000000.0,0,0
2023-01-16 07:45:00+00:00,1000000.0,0.0,1000000.0,0,0
2023-01-16 08:45:00+00:00,1000000.0,0.0,1000000.0,0,0
2023-01-16 09:45:00+00:00,1000000.0,0.0,1000000.0,0,0
2023-01-17 03:45:00+00:00,1000030.0,55.540435009609475,30.0,1,0
2023-01-17 04:45:00+00:00,998998.4696043037,55.54210294568843,1.5,0,0
2023-01-17 05:45:00+00:00,1000239.8889090058,55.54218623899289,0.07499999999999996,0,0
2023-01-17 06:45:00+00:00,996799.5769777651,0.0,996799.5769777651,0,1
2023-01-17 07:45:00+00:00,996829.5769777651,55.41007682135496,30.0,1,0
2023-01-17 08:45:00+00:00,1000682.0773168493,55.41173804290654,1.5,0,0
2023-01-17 09:45:00+00:00,1000560.2897835752,55.411821114100505,0.07499999999999996,0,0
2023-01-18 03:45:00+00:00,1004001.3459795183,55.411825253424546,0.0037500000000000033,0,0
2023-01-18 04:45:00+00:00,1005242.5926979393,55.41182546013519,0.00018750000000000017,0,0
2023-01-18 05:45:00+00:00,1007051.7022276104,55.41182547045216,9.374999999999997e-06,0,0
2023-01-18 06:45:00+00:00,1005519.6518343297,55.41182547045216,9.374999999999997e-06,0,0
2023-01-18 07:45:00+00:00,1005713.5932234763,55.41182547045216,9.374999999999997e-06,0,0
2023-01-18 08:45:00+00:00,1005998.8775436718,55.41182547045216,9.374999999999997e-06,0,0
2023-01-18 09:45:00+00:00,1006489.3587805313,55.411825470968296,4.6874999999999954e-07,0,0
2023-01-19 03:45:00+00:00,1001635.7160827949,0.0,1001635.7160827949,0,1
2023-01-19 04:45:00+00:00,1001635.7160827949,0.0,1001635.7160827949,0,0
2023-01-19 05:45:00+00:00,1001635.7160827949,0.0,1001635.7160827949,0,0
2023-01-19 06:45:00+00:00,1001635.7160827949,0.0,1001635.7160827949,0,0
2023-01-19 07:45:00+00:00,1001635.7160827949,0.0,1001635.7160827949,0,0
2023-01-19 08:45:00+00:00,1001635.7160827949,0.0,1001635.7160827949,0,0
2023-01-19 09:45:00+00:00,1001635.7160827949,0.0,1001635.7160827949,0,0
2023-01-20 03:45:00+00:00,1001635.7160827949,0.0,1001635.7160827949,0,0
2023-01-20 04:45:00+00:00,1001635.7160827949,0.0,1001635.7160827949,0,0
2023-01-20 05:45:00+00:00,1001635.7160827949,0.0,1001635.7160827949,0,0
